Repository,ReportHref,Directory,SourceLineCount,KLoc,Query,QueryType,ExpectedResultCount,GrepAlgorithmName,TgrepAlgorithmName,IdealLspAlgorithmName,CurrentLspAlgorithmName,GrepResultCount,TgrepResultCount,IdealLspResultCount,CurrentLspResultCount,SolutionLoadMilliseconds,TgrepIndexMilliseconds,GrepMilliseconds,TgrepMilliseconds,TgrepWithIndexMilliseconds,IdealLspMilliseconds,IdealLspWithSolutionLoadMilliseconds,CurrentLspMilliseconds,CurrentLspWithSolutionLoadMilliseconds,RoslynWorkspacePartial
error-or,result-error-or.html,C:\repos\error-or,4657,4.657,find-derived-types (name: IErrorOr),find-derived-types,9,find-derived-types-grep,find-derived-types-tgrep,roslyn-find-derived-types (pass 2),roslyn-find-derived-types (pass 2),7,7,9,9,6978.4111000000003,297.53109999999998,522.58029999999997,50.193199999999997,347.72429999999997,0.54669999999999996,6978.9578000000001,0.54669999999999996,6978.9578000000001,FALSE
error-or,result-error-or.html,C:\repos\error-or,4657,4.657,find-interface-implementation (name: IErrorOr),find-interface-implementation,9,find-interface-implementation-grep,find-interface-implementation-tgrep,roslyn-find-implementations (pass 2),roslyn-find-implementations (pass 2),8,8,9,9,6978.4111000000003,297.53109999999998,525.90390000000002,47.717399999999998,345.24849999999998,0.3004,6978.7115000000003,0.3004,6978.7115000000003,FALSE
error-or,result-error-or.html,C:\repos\error-or,4657,4.657,find-member-definition (name: Match),find-member-definition,4,find-member-definition-grep,find-member-definition-tgrep,roslyn-find-member-declarations (pass 2),roslyn-find-member-declarations (pass 2),2,2,4,4,6978.4111000000003,297.53109999999998,550.94159999999999,44.080599999999997,341.61169999999998,0.92000000000000004,6979.3311000000003,0.92000000000000004,6979.3311000000003,FALSE
error-or,result-error-or.html,C:\repos\error-or,4657,4.657,find-member-definition (name: ToString),find-member-definition,1,find-member-definition-grep,find-member-definition-tgrep,roslyn-find-member-declarations (pass 2),roslyn-find-member-declarations (pass 2),2,2,1,1,6978.4111000000003,297.53109999999998,545.84050000000002,43.500700000000002,341.03179999999998,1.0508,6979.4619000000002,1.0508,6979.4619000000002,FALSE
error-or,result-error-or.html,C:\repos\error-or,4657,4.657,find-type-definition (name: Error),find-type-definition,1,find-type-definition-grep,find-type-definition-tgrep,roslyn-find-declarations (pass 2),roslyn-find-declarations-workspaceSymbol (pass 2),1,1,1,28,6978.4111000000003,297.53109999999998,537.91539999999998,71.389700000000005,368.92079999999999,2.3317999999999999,6980.7429000000002,5.4199999999999999,6983.8311000000003,FALSE
error-or,result-error-or.html,C:\repos\error-or,4657,4.657,find-type-definition (name: ErrorOr),find-type-definition,9,find-type-definition-grep,find-type-definition-tgrep,roslyn-find-declarations (pass 2),roslyn-find-declarations-workspaceSymbol (pass 2),9,9,9,22,6978.4111000000003,297.53109999999998,904.30150000000003,72.089799999999997,369.62090000000001,2.7336999999999998,6981.1448,10.6457,6989.0568000000003,FALSE
error-or,result-error-or.html,C:\repos\error-or,4657,4.657,find-type-definition (name: ErrorOrExtensions),find-type-definition,6,find-type-definition-grep,find-type-definition-tgrep,roslyn-find-declarations (pass 2),roslyn-find-declarations-workspaceSymbol (pass 2),6,6,6,6,6978.4111000000003,297.53109999999998,526.5145,41.929499999999997,339.4606,1.4541999999999999,6979.8653000000004,11.959899999999999,6990.3710000000001,FALSE
error-or,result-error-or.html,C:\repos\error-or,4657,4.657,find-type-definition (name: ErrorOrFactory),find-type-definition,1,find-type-definition-grep,find-type-definition-tgrep,roslyn-find-declarations (pass 2),roslyn-find-declarations-workspaceSymbol (pass 2),1,1,1,1,6978.4111000000003,297.53109999999998,526.13250000000005,41.401600000000002,338.93269999999995,0.80810000000000004,6979.2192000000005,2.4698000000000002,6980.8809000000001,FALSE
YoutubeExplode,result-youtubeexplode.html,C:\repos\YoutubeExplode,8899,8.8989999999999991,find-derived-types (name: Channel),find-derived-types,0,find-derived-types-grep,find-derived-types-tgrep,roslyn-find-derived-types (pass 2),roslyn-find-derived-types (pass 2),0,0,0,0,6093.2061999999996,167.22900000000001,657.39099999999996,73.954400000000007,241.18340000000001,1.9394,6095.1455999999998,1.9394,6095.1455999999998,FALSE
YoutubeExplode,result-youtubeexplode.html,C:\repos\YoutubeExplode,8899,8.8989999999999991,find-interface-implementation (name: ICipherOperation),find-interface-implementation,3,find-interface-implementation-grep,find-interface-implementation-tgrep,roslyn-find-implementations (pass 2),roslyn-find-implementations (pass 2),3,3,3,3,6093.2061999999996,167.22900000000001,652.78970000000004,45.215800000000002,212.44480000000001,0.85540000000000005,6094.0616,0.85540000000000005,6094.0616,FALSE
